BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994292,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994294,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994293,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994295,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994296,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994297,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994298,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994299,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994390,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994300,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9994391,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9947132,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9947134,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9947135,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9947138,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9947140,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9947386,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9946797,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9946827,Crypturellus undulatus,PRJNA545868
SAMN12253746,SAMN12253746,GCA_013389825.1,SRR9946828,Crypturellus undulatus,PRJNA545868
