BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253924,SAMN12253924,GCA_013400815.1,SRR9947364,Centropus bengalensis,PRJNA545868
SAMN12253924,SAMN12253924,GCA_013400815.1,SRR9947365,Centropus bengalensis,PRJNA545868
SAMN12253924,SAMN12253924,GCA_013400815.1,SRR9947366,Centropus bengalensis,PRJNA545868
SAMN12253924,SAMN12253924,GCA_013400815.1,SRR9947368,Centropus bengalensis,PRJNA545868
SAMN12253924,SAMN12253924,GCA_013400815.1,SRR9947369,Centropus bengalensis,PRJNA545868
SAMN12253924,SAMN12253924,GCA_013400815.1,SRR9947367,Centropus bengalensis,PRJNA545868
SAMN12253924,SAMN12253924,GCA_013400815.1,SRR9947035,Centropus bengalensis,PRJNA545868
SAMN12253924,SAMN12253924,GCA_013400815.1,SRR9947036,Centropus bengalensis,PRJNA545868
SAMN12253924,SAMN12253924,GCA_013400815.1,SRR9946959,Centropus bengalensis,PRJNA545868
