BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253978,SAMN12253978,GCA_013400995.1,SRR9853763,Oreotrochilus melanogaster,PRJNA545868
SAMN12253978,SAMN12253978,GCA_013400995.1,SRR9853764,Oreotrochilus melanogaster,PRJNA545868
SAMN12253978,SAMN12253978,GCA_013400995.1,SRR9853765,Oreotrochilus melanogaster,PRJNA545868
SAMN12253978,SAMN12253978,GCA_013400995.1,SRR9853766,Oreotrochilus melanogaster,PRJNA545868
SAMN12253978,SAMN12253978,GCA_013400995.1,SRR9853767,Oreotrochilus melanogaster,PRJNA545868
SAMN12253978,SAMN12253978,GCA_013400995.1,SRR9853759,Oreotrochilus melanogaster,PRJNA545868
SAMN12253978,SAMN12253978,GCA_013400995.1,SRR9853762,Oreotrochilus melanogaster,PRJNA545868
