BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947174,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947334,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947231,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947173,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947330,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947331,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947335,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947336,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947337,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9946909,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9946911,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947010,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947011,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947012,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947013,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947015,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947016,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947017,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947018,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9947019,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9946521,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9946721,Nothocercus nigrocapillus,PRJNA545868
SAMN12253973,SAMN12253973,GCA_013398345.1,SRR9946792,Nothocercus nigrocapillus,PRJNA545868
