BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12254004,SAMN12254004,GCA_013398715.1,SRR9853823,Nesospiza acunhae,PRJNA545868
SAMN12254004,SAMN12254004,GCA_013398715.1,SRR9853671,Nesospiza acunhae,PRJNA545868
SAMN12254004,SAMN12254004,GCA_013398715.1,SRR9853673,Nesospiza acunhae,PRJNA545868
SAMN12254004,SAMN12254004,GCA_013398715.1,SRR9853819,Nesospiza acunhae,PRJNA545868
SAMN12254004,SAMN12254004,GCA_013398715.1,SRR9853820,Nesospiza acunhae,PRJNA545868
SAMN12254004,SAMN12254004,GCA_013398715.1,SRR9853821,Nesospiza acunhae,PRJNA545868
SAMN12254004,SAMN12254004,GCA_013398715.1,SRR9853822,Nesospiza acunhae,PRJNA545868
