BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN10096787,SAMN10096787,GCA_003713265.1,SRR8061691,Paradisaea raggiana,PRJNA491255
SAMN10096787,SAMN10096787,GCA_003713265.1,SRR8061692,Paradisaea raggiana,PRJNA491255
