BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253951,SAMN12253951,GCA_013400915.1,SRR9947089,Pardalotus punctatus,PRJNA545868
SAMN12253951,SAMN12253951,GCA_013400915.1,SRR9946793,Pardalotus punctatus,PRJNA545868
SAMN12253951,SAMN12253951,GCA_013400915.1,SRR9946496,Pardalotus punctatus,PRJNA545868
SAMN12253951,SAMN12253951,GCA_013400915.1,SRR9946777,Pardalotus punctatus,PRJNA545868
SAMN12253951,SAMN12253951,GCA_013400915.1,SRR9946778,Pardalotus punctatus,PRJNA545868
SAMN12253951,SAMN12253951,GCA_013400915.1,SRR9946786,Pardalotus punctatus,PRJNA545868
