BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9947175,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9947176,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9947178,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9947179,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9947180,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9947182,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9947212,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9947177,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9947181,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9947347,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946904,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946905,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946668,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946669,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946670,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946671,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946672,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946673,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946674,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946675,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946676,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946677,Nothocercus julius,PRJNA545868
SAMN12253972,SAMN12253972,GCA_013398735.1,SRR9946441,Nothocercus julius,PRJNA545868
