BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253941,SAMN12253941,GCA_013397775.1,SRR9947293,Eulacestoma nigropectus,PRJNA545868
SAMN12253941,SAMN12253941,GCA_013397775.1,SRR9947294,Eulacestoma nigropectus,PRJNA545868
SAMN12253941,SAMN12253941,GCA_013397775.1,SRR9947295,Eulacestoma nigropectus,PRJNA545868
SAMN12253941,SAMN12253941,GCA_013397775.1,SRR9947296,Eulacestoma nigropectus,PRJNA545868
SAMN12253941,SAMN12253941,GCA_013397775.1,SRR9947297,Eulacestoma nigropectus,PRJNA545868
