BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253853,SAMN12253853,GCA_013400475.1,SRR9946731,Tricholaema leucomelas,PRJNA545868
SAMN12253853,SAMN12253853,GCA_013400475.1,SRR9946732,Tricholaema leucomelas,PRJNA545868
SAMN12253853,SAMN12253853,GCA_013400475.1,SRR9946733,Tricholaema leucomelas,PRJNA545868
SAMN12253853,SAMN12253853,GCA_013400475.1,SRR9946734,Tricholaema leucomelas,PRJNA545868
SAMN12253853,SAMN12253853,GCA_013400475.1,SRR9946735,Tricholaema leucomelas,PRJNA545868
SAMN12253853,SAMN12253853,GCA_013400475.1,SRR9946736,Tricholaema leucomelas,PRJNA545868
SAMN12253853,SAMN12253853,GCA_013400475.1,SRR9946738,Tricholaema leucomelas,PRJNA545868
