BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253992,SAMN12253992,GCA_013398375.1,SRR9853747,Aphelocoma coerulescens,PRJNA545868
SAMN12253992,SAMN12253992,GCA_013398375.1,SRR9853748,Aphelocoma coerulescens,PRJNA545868
SAMN12253992,SAMN12253992,GCA_013398375.1,SRR9853749,Aphelocoma coerulescens,PRJNA545868
SAMN12253992,SAMN12253992,GCA_013398375.1,SRR9853750,Aphelocoma coerulescens,PRJNA545868
SAMN12253992,SAMN12253992,GCA_013398375.1,SRR9853751,Aphelocoma coerulescens,PRJNA545868
SAMN12253992,SAMN12253992,GCA_013398375.1,SRR9853756,Aphelocoma coerulescens,PRJNA545868
