BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994383,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994384,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994385,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994386,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994387,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994388,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994389,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994372,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994373,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994380,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994381,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9994382,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9946973,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9946977,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9946978,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9946980,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9946634,Crypturellus soui,PRJNA545868
SAMN12253745,SAMN12253745,GCA_013389845.1,SRR9946633,Crypturellus soui,PRJNA545868
