BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253806,SAMN12253806,GCA_013399175.1,SRR10019947,Odontophorus gujanensis,PRJNA545868
SAMN12253806,SAMN12253806,GCA_013399175.1,SRR10019948,Odontophorus gujanensis,PRJNA545868
SAMN12253806,SAMN12253806,GCA_013399175.1,SRR9946993,Odontophorus gujanensis,PRJNA545868
SAMN12253806,SAMN12253806,GCA_013399175.1,SRR9946995,Odontophorus gujanensis,PRJNA545868
SAMN12253806,SAMN12253806,GCA_013399175.1,SRR9946997,Odontophorus gujanensis,PRJNA545868
SAMN12253806,SAMN12253806,GCA_013399175.1,SRR9946998,Odontophorus gujanensis,PRJNA545868
