BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253914,SAMN12253914,GCA_013401335.1,SRR9947373,Brachypteracias leptosomus,PRJNA545868
SAMN12253914,SAMN12253914,GCA_013401335.1,SRR9947371,Brachypteracias leptosomus,PRJNA545868
SAMN12253914,SAMN12253914,GCA_013401335.1,SRR9947372,Brachypteracias leptosomus,PRJNA545868
SAMN12253914,SAMN12253914,GCA_013401335.1,SRR9946511,Brachypteracias leptosomus,PRJNA545868
SAMN12253914,SAMN12253914,GCA_013401335.1,SRR9946512,Brachypteracias leptosomus,PRJNA545868
SAMN12253914,SAMN12253914,GCA_013401335.1,SRR9946513,Brachypteracias leptosomus,PRJNA545868
SAMN12253914,SAMN12253914,GCA_013401335.1,SRR9946514,Brachypteracias leptosomus,PRJNA545868
SAMN12253914,SAMN12253914,GCA_013401335.1,SRR9946516,Brachypteracias leptosomus,PRJNA545868
