BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253931,SAMN12253931,GCA_013397615.1,SRR9947252,Eolophus roseicapilla,PRJNA545868
SAMN12253931,SAMN12253931,GCA_013397615.1,SRR9947253,Eolophus roseicapilla,PRJNA545868
SAMN12253931,SAMN12253931,GCA_013397615.1,SRR9947254,Eolophus roseicapilla,PRJNA545868
SAMN12253931,SAMN12253931,GCA_013397615.1,SRR9947255,Eolophus roseicapilla,PRJNA545868
SAMN12253931,SAMN12253931,GCA_013397615.1,SRR9946566,Eolophus roseicapilla,PRJNA545868
SAMN12253931,SAMN12253931,GCA_013397615.1,SRR9946551,Eolophus roseicapilla,PRJNA545868
