BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253913,SAMN12253913,GCA_013390105.1,SRR9946869,Tichodroma muraria,PRJNA545868
SAMN12253913,SAMN12253913,GCA_013390105.1,SRR9946517,Tichodroma muraria,PRJNA545868
SAMN12253913,SAMN12253913,GCA_013390105.1,SRR9946518,Tichodroma muraria,PRJNA545868
SAMN12253913,SAMN12253913,GCA_013390105.1,SRR9946519,Tichodroma muraria,PRJNA545868
SAMN12253913,SAMN12253913,GCA_013390105.1,SRR9946520,Tichodroma muraria,PRJNA545868
