BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253788,SAMN12253788,GCA_013399055.1,SRR9947324,Ramphastos sulfuratus,PRJNA545868
SAMN12253788,SAMN12253788,GCA_013399055.1,SRR9947323,Ramphastos sulfuratus,PRJNA545868
SAMN12253788,SAMN12253788,GCA_013399055.1,SRR9946431,Ramphastos sulfuratus,PRJNA545868
SAMN12253788,SAMN12253788,GCA_013399055.1,SRR9946432,Ramphastos sulfuratus,PRJNA545868
SAMN12253788,SAMN12253788,GCA_013399055.1,SRR9946433,Ramphastos sulfuratus,PRJNA545868
SAMN12253788,SAMN12253788,GCA_013399055.1,SRR9946434,Ramphastos sulfuratus,PRJNA545868
SAMN12253788,SAMN12253788,GCA_013399055.1,SRR9946435,Ramphastos sulfuratus,PRJNA545868
SAMN12253788,SAMN12253788,GCA_013399055.1,SRR9946436,Ramphastos sulfuratus,PRJNA545868
