BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853679,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853680,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853687,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853688,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853726,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853711,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853722,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853723,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853724,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853725,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853796,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853797,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853808,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853809,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853815,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853643,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853644,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853645,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853646,Nothoprocta ornata,PRJNA545868
SAMN12253974,SAMN12253974,GCA_013398335.1,SRR9853647,Nothoprocta ornata,PRJNA545868
