BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253877,SAMN12253877,GCA_013400635.1,SRR9947187,Hypocryptadius cinnamomeus,PRJNA545868
SAMN12253877,SAMN12253877,GCA_013400635.1,SRR9947193,Hypocryptadius cinnamomeus,PRJNA545868
SAMN12253877,SAMN12253877,GCA_013400635.1,SRR9946847,Hypocryptadius cinnamomeus,PRJNA545868
SAMN12253877,SAMN12253877,GCA_013400635.1,SRR9946848,Hypocryptadius cinnamomeus,PRJNA545868
SAMN12253877,SAMN12253877,GCA_013400635.1,SRR9946849,Hypocryptadius cinnamomeus,PRJNA545868
