BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994312,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994313,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994314,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994315,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994316,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994317,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994318,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994319,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994320,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994321,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994374,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994375,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994376,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994377,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994378,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9994379,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9947119,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9947125,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9946636,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9946639,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9946408,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9946412,Casuarius casuarius,PRJNA545868
SAMN12253744,SAMN12253744,GCA_013396415.1,SRR9946415,Casuarius casuarius,PRJNA545868
