BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253896,SAMN12253896,GCA_013399535.1,SRR9947233,Phaetusa simplex,PRJNA545868
SAMN12253896,SAMN12253896,GCA_013399535.1,SRR9947238,Phaetusa simplex,PRJNA545868
SAMN12253896,SAMN12253896,GCA_013399535.1,SRR9947239,Phaetusa simplex,PRJNA545868
SAMN12253896,SAMN12253896,GCA_013399535.1,SRR9946722,Phaetusa simplex,PRJNA545868
SAMN12253896,SAMN12253896,GCA_013399535.1,SRR9946724,Phaetusa simplex,PRJNA545868
SAMN12253896,SAMN12253896,GCA_013399535.1,SRR9946739,Phaetusa simplex,PRJNA545868
