BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253817,SAMN12253817,GCA_013399815.1,SRR9947063,Hirundo rustica,PRJNA545868
SAMN12253817,SAMN12253817,GCA_013399815.1,SRR9947064,Hirundo rustica,PRJNA545868
SAMN12253817,SAMN12253817,GCA_013399815.1,SRR9946690,Hirundo rustica,PRJNA545868
SAMN12253817,SAMN12253817,GCA_013399815.1,SRR9946691,Hirundo rustica,PRJNA545868
SAMN12253817,SAMN12253817,GCA_013399815.1,SRR9946692,Hirundo rustica,PRJNA545868
SAMN12253817,SAMN12253817,GCA_013399815.1,SRR9946693,Hirundo rustica,PRJNA545868
SAMN12253817,SAMN12253817,GCA_013399815.1,SRR9946697,Hirundo rustica,PRJNA545868
