BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253999,SAMN12253999,GCA_013398555.1,SRR9853689,Haliaeetus albicilla,PRJNA545868
SAMN12253999,SAMN12253999,GCA_013398555.1,SRR9853690,Haliaeetus albicilla,PRJNA545868
SAMN12253999,SAMN12253999,GCA_013398555.1,SRR9853692,Haliaeetus albicilla,PRJNA545868
SAMN12253999,SAMN12253999,GCA_013398555.1,SRR9853693,Haliaeetus albicilla,PRJNA545868
SAMN12253999,SAMN12253999,GCA_013398555.1,SRR9853695,Haliaeetus albicilla,PRJNA545868
SAMN12253999,SAMN12253999,GCA_013398555.1,SRR9853696,Haliaeetus albicilla,PRJNA545868
