BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253885,SAMN12253885,GCA_013399355.1,SRR9947158,Herpetotheres cachinnans,PRJNA545868
SAMN12253885,SAMN12253885,GCA_013399355.1,SRR9947164,Herpetotheres cachinnans,PRJNA545868
SAMN12253885,SAMN12253885,GCA_013399355.1,SRR9946872,Herpetotheres cachinnans,PRJNA545868
SAMN12253885,SAMN12253885,GCA_013399355.1,SRR9946890,Herpetotheres cachinnans,PRJNA545868
SAMN12253885,SAMN12253885,GCA_013399355.1,SRR9946891,Herpetotheres cachinnans,PRJNA545868
SAMN12253885,SAMN12253885,GCA_013399355.1,SRR9946914,Herpetotheres cachinnans,PRJNA545868
