BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253964,SAMN12253964,GCA_013398815.1,SRR9947056,Ibidorhyncha struthersii,PRJNA545868
SAMN12253964,SAMN12253964,GCA_013398815.1,SRR9946437,Ibidorhyncha struthersii,PRJNA545868
SAMN12253964,SAMN12253964,GCA_013398815.1,SRR9946440,Ibidorhyncha struthersii,PRJNA545868
SAMN12253964,SAMN12253964,GCA_013398815.1,SRR9946442,Ibidorhyncha struthersii,PRJNA545868
SAMN12253964,SAMN12253964,GCA_013398815.1,SRR9946443,Ibidorhyncha struthersii,PRJNA545868
