BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253945,SAMN12253945,GCA_013397975.1,SRR9946864,Machaerirhynchus nigripectus,PRJNA545868
SAMN12253945,SAMN12253945,GCA_013397975.1,SRR9946862,Machaerirhynchus nigripectus,PRJNA545868
SAMN12253945,SAMN12253945,GCA_013397975.1,SRR9946863,Machaerirhynchus nigripectus,PRJNA545868
SAMN12253945,SAMN12253945,GCA_013397975.1,SRR9946865,Machaerirhynchus nigripectus,PRJNA545868
SAMN12253945,SAMN12253945,GCA_013397975.1,SRR9946861,Machaerirhynchus nigripectus,PRJNA545868
