BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253870,SAMN12253870,GCA_013397435.1,SRR9947161,Erythrocercus mccallii,PRJNA545868
SAMN12253870,SAMN12253870,GCA_013397435.1,SRR9947162,Erythrocercus mccallii,PRJNA545868
SAMN12253870,SAMN12253870,GCA_013397435.1,SRR9947165,Erythrocercus mccallii,PRJNA545868
SAMN12253870,SAMN12253870,GCA_013397435.1,SRR9947166,Erythrocercus mccallii,PRJNA545868
SAMN12253870,SAMN12253870,GCA_013397435.1,SRR9947167,Erythrocercus mccallii,PRJNA545868
SAMN12253870,SAMN12253870,GCA_013397435.1,SRR9947168,Erythrocercus mccallii,PRJNA545868
SAMN12253870,SAMN12253870,GCA_013397435.1,SRR9947172,Erythrocercus mccallii,PRJNA545868
SAMN12253870,SAMN12253870,GCA_013397435.1,SRR9946759,Erythrocercus mccallii,PRJNA545868
