BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253880,SAMN12253880,GCA_013400615.1,SRR9947040,Syrrhaptes paradoxus,PRJNA545868
SAMN12253880,SAMN12253880,GCA_013400615.1,SRR9947041,Syrrhaptes paradoxus,PRJNA545868
