BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853704,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853705,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853706,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853681,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853682,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853683,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853684,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853685,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853686,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853714,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853716,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853674,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853675,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853677,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853678,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853651,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853652,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853653,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853654,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853655,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853656,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853657,Melospiza melodia,PRJNA545868
