BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853658,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853659,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853660,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853661,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853662,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853663,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853664,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853649,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853650,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853785,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853810,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853737,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853738,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853739,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853740,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853741,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853742,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853743,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853744,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853745,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853746,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853709,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853710,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853712,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853713,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853717,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853718,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853719,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853757,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853787,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853788,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853789,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853790,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853791,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853792,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853793,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853794,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853795,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853798,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853799,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853800,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853801,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853802,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853803,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853804,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853805,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853806,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853807,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853811,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853812,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853813,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853814,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853816,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853817,Melospiza melodia,PRJNA545868
SAMN12253982,SAMN12253982,GCA_013398205.1,SRR9853818,Melospiza melodia,PRJNA545868
