BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253911,SAMN12253911,GCA_013400755.1,SRR9947096,Pelecanoides urinatrix,PRJNA545868
SAMN12253911,SAMN12253911,GCA_013400755.1,SRR9947213,Pelecanoides urinatrix,PRJNA545868
SAMN12253911,SAMN12253911,GCA_013400755.1,SRR9947214,Pelecanoides urinatrix,PRJNA545868
SAMN12253911,SAMN12253911,GCA_013400755.1,SRR9947228,Pelecanoides urinatrix,PRJNA545868
SAMN12253911,SAMN12253911,GCA_013400755.1,SRR9946709,Pelecanoides urinatrix,PRJNA545868
SAMN12253911,SAMN12253911,GCA_013400755.1,SRR9946713,Pelecanoides urinatrix,PRJNA545868
SAMN12253911,SAMN12253911,GCA_013400755.1,SRR9946714,Pelecanoides urinatrix,PRJNA545868
SAMN12253911,SAMN12253911,GCA_013400755.1,SRR9946715,Pelecanoides urinatrix,PRJNA545868
