BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253920,SAMN12253920,GCA_013398875.1,SRR9946598,Prunella himalayana,PRJNA545868
SAMN12253920,SAMN12253920,GCA_013398875.1,SRR9946599,Prunella himalayana,PRJNA545868
SAMN12253920,SAMN12253920,GCA_013398875.1,SRR9946605,Prunella himalayana,PRJNA545868
SAMN12253920,SAMN12253920,GCA_013398875.1,SRR9946606,Prunella himalayana,PRJNA545868
SAMN12253920,SAMN12253920,GCA_013398875.1,SRR9946607,Prunella himalayana,PRJNA545868
SAMN12253920,SAMN12253920,GCA_013398875.1,SRR9946608,Prunella himalayana,PRJNA545868
