BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253888,SAMN12253888,GCA_013399305.1,SRR9947320,Rostratula benghalensis,PRJNA545868
SAMN12253888,SAMN12253888,GCA_013399305.1,SRR9947321,Rostratula benghalensis,PRJNA545868
SAMN12253888,SAMN12253888,GCA_013399305.1,SRR9947325,Rostratula benghalensis,PRJNA545868
SAMN12253888,SAMN12253888,GCA_013399305.1,SRR9947319,Rostratula benghalensis,PRJNA545868
SAMN12253888,SAMN12253888,GCA_013399305.1,SRR9947326,Rostratula benghalensis,PRJNA545868
SAMN12253888,SAMN12253888,GCA_013399305.1,SRR9947327,Rostratula benghalensis,PRJNA545868
