BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253848,SAMN12253848,GCA_013400295.1,SRR9946811,Larus smithsonianus,PRJNA545868
SAMN12253848,SAMN12253848,GCA_013400295.1,SRR9946698,Larus smithsonianus,PRJNA545868
SAMN12253848,SAMN12253848,GCA_013400295.1,SRR9946699,Larus smithsonianus,PRJNA545868
SAMN12253848,SAMN12253848,GCA_013400295.1,SRR9946700,Larus smithsonianus,PRJNA545868
SAMN12253848,SAMN12253848,GCA_013400295.1,SRR9946706,Larus smithsonianus,PRJNA545868
SAMN12253848,SAMN12253848,GCA_013400295.1,SRR9946717,Larus smithsonianus,PRJNA545868
SAMN12253848,SAMN12253848,GCA_013400295.1,SRR9946718,Larus smithsonianus,PRJNA545868
