BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253928,SAMN12253928,GCA_013397655.1,SRR9947099,Chroicocephalus maculipennis,PRJNA545868
SAMN12253928,SAMN12253928,GCA_013397655.1,SRR9946707,Chroicocephalus maculipennis,PRJNA545868
SAMN12253928,SAMN12253928,GCA_013397655.1,SRR9946472,Chroicocephalus maculipennis,PRJNA545868
SAMN12253928,SAMN12253928,GCA_013397655.1,SRR9946474,Chroicocephalus maculipennis,PRJNA545868
SAMN12253928,SAMN12253928,GCA_013397655.1,SRR9946475,Chroicocephalus maculipennis,PRJNA545868
