BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253979,SAMN12253979,GCA_013398245.1,SRR9853758,Alca torda,PRJNA545868
SAMN12253979,SAMN12253979,GCA_013398245.1,SRR9853828,Alca torda,PRJNA545868
SAMN12253979,SAMN12253979,GCA_013398245.1,SRR9853829,Alca torda,PRJNA545868
SAMN12253979,SAMN12253979,GCA_013398245.1,SRR9853830,Alca torda,PRJNA545868
SAMN12253979,SAMN12253979,GCA_013398245.1,SRR9853831,Alca torda,PRJNA545868
SAMN12253979,SAMN12253979,GCA_013398245.1,SRR9853834,Alca torda,PRJNA545868
