BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9947195,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9947100,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9947115,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9947268,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9947208,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9947346,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9947348,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9947383,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9947385,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946870,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946889,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946950,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9947084,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946600,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946609,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946610,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946563,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946564,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946576,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946581,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946614,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946615,Eudromia elegans,PRJNA545868
SAMN12253968,SAMN12253968,GCA_013398775.1,SRR9946791,Eudromia elegans,PRJNA545868
