BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253994,SAMN12253994,GCA_013398595.1,SRR9853731,Cercotrichas coryphaeus,PRJNA545868
SAMN12253994,SAMN12253994,GCA_013398595.1,SRR9853732,Cercotrichas coryphaeus,PRJNA545868
SAMN12253994,SAMN12253994,GCA_013398595.1,SRR9853733,Cercotrichas coryphaeus,PRJNA545868
SAMN12253994,SAMN12253994,GCA_013398595.1,SRR9853734,Cercotrichas coryphaeus,PRJNA545868
SAMN12253994,SAMN12253994,GCA_013398595.1,SRR9853735,Cercotrichas coryphaeus,PRJNA545868
