Genbank accession	Biosample	Species	Run	BioProject
GCA_004026605.1	SAMN07678059	Ondatra zibethicus	SRS3678526	PRJNA399451
GCA_004026725.1	SAMN07678022	Onychomys torridus	SRS3678527	PRJNA399348
GCA_004027205.1	SAMN07678018	Ctenodactylus gundi	SRS3678511	PRJNA399344
GCA_004027165.1	SAMN07678051	Ctenomys sociabilis	SRS6380762	PRJNA399368
GCA_004365215.1	SAMN07678075	Cuniculus paca	SRS6380761	PRJNA399385
GCA_004363535.1	SAMN07678076	Dasyprocta punctata	SRS6382154	PRJNA399386
GCA_004027595.1	SAMN07678079	Dinomys branickii	SRS3622118	PRJNA399389
GCA_004027895.1	SAMN07678035	Allactaga bullata	SRS3678504	PRJNA399447
GCA_004024765.1	SAMN07678139	Zapus hudsonius	SRS6386433	PRJNA399434
GCA_004027185.1	SAMN07678015	Glis glis	SRS3622119	PRJNA399435
GCA_004027005.1	SAMN07678014	Muscardinus avellanarius	SRS3622125	PRJNA399340
GCA_004027655.1	SAMN07678085	Graphiurus murinus	SRS3678513	PRJNA399395
GCA_004363475.1	SAMN07678105	Perognathus longimembris pacificus	SRS6383717	PRJNA399459
GCA_004024685.1	SAMN07678080	Dipodomys stephensi	SRS9006011	PRJNA399390
GCA_004027455.1	SAMN07678143	Hydrochoerus hydrochaeris	SRS3678516	PRJNA399400
GCA_004026905.1	SAMN07678090	Hystrix cristata	SRS3622120	PRJNA399401
GCA_004027535.1	SAMN07678032	Acomys cahirinus	SRS3600981	PRJNA399339
GCA_004026785.1	SAMN07678137	Meriones unguiculatus	SRS3678519	PRJNA399432
GCA_004027025.1	SAMN07678020	Myocastor coypus	SRS3622127	PRJNA399346
GCA_004027575.1	SAMN07678025	Cricetomys gambianus	SRS3678509	PRJNA399436
GCA_004026965.1	SAMN07678021	Petromus typicus	SRS3678528	PRJNA399347
GCA_004024805.1	SAMN07678119	Xerus inauris	SRS3678541	PRJNA399425
GCA_004026225.1	SAMN07678150	Rhizomys pruinosus	SRS3622128	PRJNA399452
GCA_004025085.1	SAMN07678129	Thryonomys swinderianus	SRS3678536	PRJNA399470
GCA_004024785.1	SAMN07678064	Ateles geoffroyi	SRS8959850	PRJNA399374
GCA_004027835.1	SAMN07678036	Alouatta palliata mexicana	SRS5279297	PRJNA399372
GCA_004024885.1	SAMN07678110	Saguinus imperator	SRS9005609	PRJNA399417
GCA_004027755.1	SAMN07678068	Cebus albifrons	SRS6380534	PRJNA399379
GCA_004027615.1	SAMN07678070	Cercopithecus neglectus	SRS6380601	PRJNA399380
GCA_004025065.1	SAMN07678111	Semnopithecus entellus	SRS6386391	PRJNA399419
GCA_004027335.1	SAMN07678082	Erythrocebus patas	SRS6382159	PRJNA399392
GCA_004027105.1	SAMN07678099	Nasalis larvatus	SRS6383564	PRJNA399408
GCA_004024825.1	SAMN07678108	Pygathrix nemaeus	SRS9006988	PRJNA399415
