Latin name,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Smithornis_capensis,Smithornis capensis,Eurylaimidae,Passeriformes,14,5,8,1,9,16.2,10.4,9.8,5.8,16.1,70.1,11.8,57.7,16.9,51.2,23.2,Dunning,,NO,,,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,-30.81,11.48,-8.09,27.06045309,3751914.0,Extant
Oceanites_oceanicus,Oceanites oceanicus,Hydrobatidae,Procellariiformes,5,2,3,0,4,16.3,7.1,2.9,3.8,34.9,147.2,86.6,61.2,58.6,66.0,30.41,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aerial,-73.66,-48.45,-54.16,-20.87579418,28528.95,Extant
Chloropsis_cyanopogon,Chloropsis cyanopogon,Chloropseidae,Passeriformes,8,3,3,2,4,18.7,12.8,4.2,5.0,18.9,81.9,14.9,68.1,17.8,63.0,22.0,Dunning,,NO,,,Forest,1.0,1.0,Omnivore,Omnivore,Insessorial,-5.95,9.85,1.18,108.4286138,1210976.46,Extant
Chloropsis_hardwickii,Chloropsis hardwickii,Chloropseidae,Passeriformes,5,2,3,0,4,24.7,14.9,4.6,5.4,17.6,93.6,18.1,74.7,19.5,71.4,32.29,Dunning,,NO,,,Shrubland,1.0,3.0,Omnivore,Omnivore,Insessorial,3.38,31.63,23.39,101.8222026,1584465.88,Extant
Dryoscopus_gambensis,Dryoscopus gambensis,Malaconotidae,Passeriformes,11,2,9,0,4,23.5,12.9,6.6,7.2,25.1,90.5,13.5,76.9,14.9,75.3,31.9,Dunning,,NO,,,Woodland,2.0,1.0,Carnivore,Invertivore,Insessorial,-7.43,17.21,7.87,14.46510669,5608614.97,Extant
Drymodes_brunneopygia,Drymodes brunneopygia,Petroicidae,Passeriformes,7,3,3,1,4,16.5,8.8,3.4,3.9,35.5,91.9,12.3,78.0,13.6,100.7,32.95,Dunning,,NO,,,Shrubland,2.0,1.0,Carnivore,Invertivore,Generalist,-37.35,-25.52,-32.61,130.324147,916861.69,Extant
Larus_maculipennis,Larus maculipennis,Laridae,Charadriiformes,5,2,3,0,4,41.4,16.6,4.7,8.9,43.8,291.2,159.0,129.2,55.1,108.2,339.0,Dunning,,NO,,,Wetland,3.0,1.0,Carnivore,Omnivore,Generalist,-55.98,-28.77,-40.29,-66.11448112,2149631.88,Extant
Chionis_minor,Chionis minor,Chionidae,Charadriiformes,5,3,2,0,4,33.5,22.6,8.7,14.6,45.4,227.0,81.1,145.2,35.9,105.8,493.96,Dunning,,NO,,,Marine,3.0,2.0,Omnivore,Omnivore,Terrestrial,-53.19,-45.97,-49.28,67.76398714,8219.09,Extant
Chaetops_frenatus,Chaetops frenatus,Turdidae,Passeriformes,3,0,0,3,3,24.2,13.0,3.7,4.9,34.4,87.3,10.3,77.0,11.8,91.7,54.99,Dunning,,NO,,,Rock,3.0,1.0,Carnivore,Invertivore,Terrestrial,-34.84,-31.79,-33.59,20.91420292,66553.02,Extant
Piprites_chloris,Piprites chloris,Pipridae,Passeriformes,6,0,4,2,4,11.7,7.2,4.2,4.7,16.8,66.2,16.7,49.3,25.3,50.3,16.0,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-27.82,11.25,-4.83,-62.48224756,7073219.6,Extant
Calyptomena_viridis,Calyptomena viridis,Eurylaimidae,Passeriformes,12,3,5,4,5,16.6,8.7,6.0,6.0,21.4,97.8,16.5,82.1,16.7,51.6,58.5,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-5.95,16.15,1.69,107.7684547,1457426.48,Extant
Glaucidium_brasilianum,Glaucidium brasilianum,Strigidae,Strigiformes,15,5,7,3,8,14.9,10.0,7.1,10.6,18.0,94.1,16.8,77.3,17.9,63.4,63.3,Updated_literature,BoW,NO,,,Shrubland,2.0,1.0,Carnivore,Invertivore,Insessorial,-34.98,33.43,-7.18,-61.15420895,14547708.74,Extant
Catharus_fuscescens,Catharus fuscescens,Turdidae,Passeriformes,13,6,6,1,8,17.6,10.0,4.4,4.2,29.2,97.0,27.7,69.4,28.5,69.3,31.9,Dunning,,NO,,,Forest,1.0,3.0,Carnivore,Invertivore,Terrestrial,34.7,55.97,47.14,-95.62884468,3681872.46,Extant
Furnarius_figulus,Furnarius figulus,Furnariidae,Passeriformes,11,1,7,3,2,18.6,13.9,3.7,4.4,25.6,83.2,14.1,69.1,17.4,58.0,28.0,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,-23.71,-1.13,-10.71,-44.01301575,1971356.28,Extant
Rhagologus_leucostigma,Rhagologus leucostigma,Pachycephalidae,Passeriformes,4,0,4,0,4,17.2,9.6,4.2,5.5,20.0,87.8,19.5,68.2,22.2,64.5,26.8,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-10.26,-0.48,-5.04,141.212906,150755.69,Extant
Penelope_pileata,Penelope pileata,Cracidae,Galliformes,7,1,4,2,4,40.7,17.5,9.6,11.8,85.5,322.0,31.0,290.6,9.6,358.3,1249.79,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-10.47,-1.2,-5.26,-54.52633241,1046616.16,Extant
Toxostoma_redivivum,Toxostoma redivivum,Mimidae,Passeriformes,5,2,2,1,4,40.2,30.5,6.5,6.9,36.4,102.4,9.8,92.4,9.5,133.0,84.4,Dunning,,NO,,,Shrubland,2.0,1.0,Omnivore,Invertivore,Generalist,29.42,42.0,36.46,-120.0943869,167320.21,Extant
Oreocharis_arfaki,Oreocharis arfaki,Melanocharitidae,Passeriformes,4,2,2,0,4,11.7,6.2,3.3,3.8,18.4,70.0,13.8,56.2,19.6,46.9,19.7,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-9.91,-0.43,-4.76,140.6611267,62340.26,Extant
Alca_torda,Alca torda,Alcidae,Charadriiformes,6,2,2,2,4,42.8,21.1,9.2,23.1,32.4,209.3,116.5,88.5,56.8,94.7,725.99,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic,43.1,76.41,61.38,-19.92989098,1228730.51,Extant
Himantopus_himantopus,Himantopus himantopus,Recurvirostridae,Charadriiformes,5,2,3,0,4,64.7,47.1,4.3,4.6,115.8,225.6,115.5,105.2,52.2,78.6,176.82,Dunning,,NO,,,Wetland,3.0,2.0,Carnivore,Aquatic predator,Terrestrial,-34.84,59.08,21.1,29.83485348,30584240.92,Extant
Sylvietta_virens,Sylvietta virens,Sylviidae,Passeriformes,8,2,3,3,6,11.6,7.1,2.6,2.6,16.3,46.4,3.7,43.0,8.0,16.1,8.4,Dunning,,NO,,,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,-13.75,14.03,0.77,14.90930551,3738336.18,Extant
Ceuthmochares_aereus,Ceuthmochares aereus,Cuculidae,Cuculiformes,10,5,5,0,8,27.7,19.4,9.8,10.5,28.2,119.0,17.4,102.6,14.5,188.9,65.8,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-34.05,13.49,-3.43,21.93445558,5165917.5,Extant
Orthonyx_spaldingii,Orthonyx spaldingii,Orthonychidae,Passeriformes,9,5,4,0,4,22.3,11.6,5.0,6.6,42.0,122.3,13.4,107.0,11.2,103.3,149.91,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,-19.63,-15.09,-17.67,145.714945,23436.79,Extant
Promerops_cafer,Promerops cafer,Promeropidae,Passeriformes,5,1,1,3,4,36.8,22.6,3.7,3.7,23.5,93.6,19.4,75.3,20.5,284.0,34.74,Dunning,,NO,,,Shrubland,2.0,2.0,Omnivore,Nectarivore,Insessorial,-34.84,-31.03,-33.39,21.38221847,114533.35,Extant
Amazona_guildingii,Amazona guildingii,Psittacidae,Psittaciformes,4,2,2,0,4,41.1,33.5,22.2,34.2,27.7,262.5,82.5,180.0,31.4,153.2,646.0,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Omnivore,Insessorial,13.21,13.3,13.25,-61.19704276,43.1,Extant
Caloenas_nicobarica,Caloenas nicobarica,Columbidae,Columbiformes,5,2,3,0,3,30.7,16.4,5.4,7.7,43.7,259.0,85.5,174.8,32.8,98.8,537.86,Dunning,,NO,,,Forest,1.0,2.0,Herbivore,Omnivore,Terrestrial,-11.85,19.58,-0.34,127.4672836,475640.94,Extant
Mesembrinibis_cayennensis,Mesembrinibis cayennensis,Threskiornithidae,Pelecaniformes,9,4,3,2,4,116.6,92.5,11.8,16.3,60.3,296.1,76.6,229.5,25.0,153.3,756.0,Dunning,,NO,,,Forest,2.0,1.0,Carnivore,Aquatic predator,Terrestrial,-29.1,15.41,-7.9,-59.10523233,10576805.93,Extant
Ramphastos_sulfuratus,Ramphastos sulfuratus,Ramphastidae,Piciformes,19,8,7,4,8,129.2,132.3,33.7,45.8,48.7,200.4,29.6,170.3,14.8,163.1,409.69,Dunning,,NO,,,Forest,1.0,1.0,Omnivore,Frugivore,Insessorial,6.94,21.79,14.77,-86.16740974,679911.57,Extant
Cisticola_juncidis,Cisticola juncidis,Cisticolidae,Passeriformes,21,9,12,0,4,12.1,6.8,2.3,2.6,17.7,48.9,6.7,42.8,13.5,40.3,6.81,Dunning,,NO,,,Grassland,3.0,3.0,Carnivore,Invertivore,Generalist,-34.84,51.09,10.73,63.10920419,18929166.75,Extant
Geococcyx_californianus,Geococcyx californianus,Cuculidae,Cuculiformes,5,3,2,0,4,57.8,35.4,10.1,12.5,59.5,181.0,12.0,172.0,6.5,287.4,376.0,Dunning,,NO,,,Shrubland,2.0,1.0,Carnivore,Invertivore,Terrestrial,18.36,40.65,30.77,-104.3620211,3008009.53,Extant
Sclerurus_mexicanus,Sclerurus mexicanus,Furnariidae,Passeriformes,16,3,13,0,4,24.0,18.1,3.6,4.2,21.9,79.1,10.3,68.8,13.0,57.2,25.1,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,-23.97,21.21,-3.51,-62.38906005,6362030.4,Extant
Hylia_prasina,Hylia prasina,Sylviidae,Passeriformes,75,13,12,50,29,13.0,8.3,3.4,3.4,20.1,61.5,8.4,54.7,13.4,42.9,13.06,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-12.55,13.31,1.83,13.3531642,4144582.44,Extant
Campylorhamphus_procurvoides,Campylorhamphus procurvoides,Dendrocolaptidae,Passeriformes,12,2,9,1,4,55.3,50.1,4.0,5.3,19.4,94.2,17.3,76.3,18.5,86.4,33.5,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-11.97,8.66,-2.82,-61.35370225,3820412.0,Extant
Porzana_atra,Porzana atra,Rallidae,Gruiformes,3,2,1,0,3,22.0,11.4,2.8,5.4,30.4,80.0,19.7,60.3,24.5,39.0,77.4,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,-24.41,-24.32,-24.36,-128.3154918,41.11,Extant
Struthidea_cinerea,Struthidea cinerea,Corcoracidae,Passeriformes,8,3,5,0,4,25.1,13.3,7.7,11.4,39.0,146.6,24.3,124.7,16.3,153.5,132.0,Dunning,,NO,,,Shrubland,2.0,1.0,Omnivore,Omnivore,Terrestrial,-37.0,-13.74,-25.83,144.5099135,2500913.56,Extant
Gymnorhina_tibicen,Gymnorhina tibicen,Cracticidae,Passeriformes,30,9,20,1,9,54.7,35.8,11.9,15.8,56.2,256.6,108.3,157.9,40.7,137.2,284.87,Dunning,,NO,,,Woodland,2.0,1.0,Carnivore,Invertivore,Terrestrial,-43.55,-8.51,-26.45,135.3787949,6726971.95,Extant
Rhinoptilus_africanus,Rhinoptilus africanus,Glareolidae,Charadriiformes,5,2,3,0,4,16.2,8.9,3.1,3.8,52.9,147.8,64.2,82.8,43.7,64.2,87.5,Dunning,,NO,,,Desert,3.0,1.0,Carnivore,Invertivore,Terrestrial,-34.84,13.15,-16.64,27.43424688,2999057.71,Extant
Neodrepanis_coruscans,Neodrepanis coruscans,Philepittidae,Passeriformes,9,3,4,2,4,26.0,21.3,3.4,3.6,14.7,46.6,8.5,37.1,19.5,22.6,6.5,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Nectarivore,Insessorial,-25.02,-13.32,-17.53,48.74481417,55129.61,Extant
Leiothrix_lutea,Leiothrix lutea,Timaliidae,Passeriformes,5,2,3,0,4,13.7,7.1,3.5,4.6,23.7,68.2,8.6,58.9,12.8,59.2,21.39,Dunning,,NO,,,Shrubland,1.0,1.0,Carnivore,Invertivore,Insessorial,20.22,38.08,28.75,107.7961362,2885282.76,Extant
Oenanthe_oenanthe,Oenanthe oenanthe,Muscicapidae,Passeriformes,29,13,16,0,4,17.9,9.9,3.7,3.7,27.3,95.1,30.5,64.6,32.1,56.7,25.39,Dunning,,NO,,,Grassland,3.0,3.0,Carnivore,Invertivore,Insessorial,28.01,81.4,56.43,53.02979276,29332212.99,Extant
Aegotheles_bennettii,Aegotheles bennettii,Aegothelidae,Apodiformes,7,4,3,0,7,16.5,5.9,4.8,4.0,19.8,127.5,39.6,87.8,31.1,114.9,60.0,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-10.73,-0.79,-5.63,143.9752959,199259.89,Extant
Eupodotis_ruficrista,Eupodotis ruficrista,Otididae,Otidiformes,5,2,3,0,4,37.4,22.0,8.8,8.3,84.5,261.2,96.5,161.2,37.5,143.0,712.1,Dunning,,NO,,,Shrubland,3.0,1.0,Omnivore,Omnivore,Terrestrial,-28.6,-11.59,-20.84,23.24154624,2013859.39,Extant
Hippolais_icterina,Hippolais icterina,Sylviidae,Passeriformes,22,6,16,0,4,17.5,9.1,3.8,3.4,20.6,77.9,24.0,53.8,30.8,54.6,13.2,Dunning,,NO,,,Woodland,1.0,3.0,Carnivore,Invertivore,Insessorial,35.77,68.41,54.61,35.37015285,6330920.54,Extant
Anhinga_anhinga,Anhinga anhinga,Anhingidae,Suliformes,9,6,3,0,4,85.6,78.8,11.1,14.7,39.0,339.6,66.6,273.0,19.6,267.2,1235.0,Dunning,,NO,,,Wetland,3.0,1.0,Carnivore,Aquatic predator,Aquatic,-33.76,34.87,-5.08,-62.2442446,14921101.49,Extant
Semnornis_frantzii,Semnornis frantzii,Ramphastidae,Piciformes,5,2,3,0,4,19.0,12.6,7.8,10.1,24.6,88.8,12.2,76.8,13.7,67.7,57.3,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,8.47,10.5,9.52,-83.25772204,15874.29,Extant
Psilopogon_pyrolophus,Psilopogon pyrolophus,Ramphastidae,Piciformes,5,2,3,0,4,32.8,22.8,11.2,15.5,30.5,123.4,19.0,104.8,15.4,108.6,129.0,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-5.95,6.19,0.7,101.3304483,474947.38,Extant
Machaerirhynchus_nigripectus,Machaerirhynchus nigripectus,Machaerirhynchidae,Passeriformes,6,3,3,0,4,15.2,7.1,7.7,3.0,16.9,59.9,11.6,47.3,19.7,56.5,12.0,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-10.27,-0.39,-5.27,141.8607634,223752.26,Extant
Sylvia_borin,Sylvia borin,Sylviidae,Passeriformes,24,8,12,4,4,15.1,7.2,3.5,3.6,20.1,78.7,23.6,55.2,30.0,57.9,18.2,Dunning,,NO,,,Woodland,1.0,3.0,Omnivore,Omnivore,Insessorial,36.37,70.85,54.65,37.01212237,9648408.47,Extant
Cephalopterus_ornatus,Cephalopterus ornatus,Cotingidae,Passeriformes,15,7,6,2,4,57.2,36.8,19.7,18.9,47.2,259.6,40.4,221.6,15.4,160.2,380.0,Dunning,,NO,,,Forest,1.0,1.0,Omnivore,Omnivore,Insessorial,-17.34,7.83,-5.22,-65.00798525,5506150.67,Extant
Oriolus_oriolus,Oriolus oriolus,Oriolidae,Passeriformes,45,16,29,0,8,29.6,18.8,9.0,8.6,23.0,147.1,54.9,93.5,36.9,83.7,79.0,Dunning,,NO,,,Woodland,1.0,3.0,Omnivore,Omnivore,Insessorial,20.72,63.67,47.63,47.45258038,13665114.77,Extant
Dasyornis_broadbenti,Dasyornis broadbenti,Dasyornithidae,Passeriformes,11,4,6,1,2,21.6,10.4,4.6,5.6,33.5,90.8,5.0,86.5,5.5,120.9,67.9,Dunning,,NO,,,Shrubland,2.0,1.0,Omnivore,Invertivore,Generalist,-38.86,-35.31,-37.67,141.4969873,26759.89,Extant
Notiomystis_cincta,Notiomystis cincta,Meliphagidae,Passeriformes,5,2,3,0,4,20.1,9.0,3.5,3.9,27.6,104.3,25.8,76.4,25.2,78.0,93.37,Dunning,,NO,,,Forest,1.0,1.0,Omnivore,Omnivore,Insessorial,-41.32,-36.17,-39.19,175.0013036,100.83,Extant
Coracina_coerulescens,Coracina coerulescens,Campephagidae,Passeriformes,10,2,8,0,4,27.6,16.5,8.8,8.2,24.2,129.9,27.4,102.5,21.1,100.8,62.84,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,12.54,18.65,15.81,121.5119556,84363.69,Extant
Uria_aalge,Uria aalge,Alcidae,Charadriiformes,6,4,2,0,4,56.8,37.3,8.1,13.3,35.9,196.3,111.2,82.2,57.5,49.8,991.93,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic,34.56,78.22,58.79,-17.82477091,1547284.08,Extant
Trogon_melanurus,Trogon melanurus,Trogonidae,Trogoniformes,12,5,7,0,8,24.8,15.5,10.2,13.1,14.0,153.5,54.1,100.4,35.0,150.1,114.0,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-16.43,12.46,-3.11,-63.4709018,6755571.08,Extant
Ibidorhyncha_struthersii,Ibidorhyncha struthersii,Ibidorhynchidae,Charadriiformes,8,4,4,0,4,79.3,63.8,5.3,6.4,46.4,231.2,100.8,131.2,43.5,112.4,294.0,Dunning,,NO,,,Riverine,3.0,2.0,Carnivore,Aquatic predator,Terrestrial,26.52,45.83,35.52,92.4370137,4986455.37,Extant
Pedionomus_torquatus,Pedionomus torquatus,Pedionomidae,Charadriiformes,5,3,2,0,3,16.2,7.5,3.4,3.9,24.4,89.0,26.1,59.7,30.6,26.8,62.52,Dunning,,NO,,,Grassland,3.0,1.0,Omnivore,Omnivore,Terrestrial,-36.43,-23.21,-29.41,142.7701565,32628.67,Extant
Scytalopus_superciliaris,Scytalopus superciliaris,Rhinocryptidae,Passeriformes,5,2,3,0,4,12.9,5.6,2.9,3.6,19.6,51.6,8.1,45.1,15.5,36.9,17.8,Dunning,,NO,,,Forest,3.0,1.0,Carnivore,Invertivore,Terrestrial,-29.7,-22.23,-26.09,-65.71030229,53108.46,Extant
Indicator_maculatus,Indicator maculatus,Indicatoridae,Piciformes,9,2,3,4,4,13.4,7.6,4.5,5.8,16.8,97.6,19.2,78.8,19.6,61.6,46.8,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-5.93,13.85,4.06,11.37124865,4072953.89,Extant
Polioptila_caerulea,Polioptila caerulea,Polioptilidae,Passeriformes,8,3,3,2,7,11.3,7.4,2.8,2.3,15.9,50.8,9.6,40.8,19.1,49.1,5.8,Dunning,,NO,,,Woodland,2.0,3.0,Carnivore,Invertivore,Insessorial,14.44,46.6,33.81,-96.33514325,6582606.18,Extant
Pelecanoides_urinatrix,Pelecanoides urinatrix,Pelecanoididae,Procellariiformes,7,4,3,0,4,28.1,13.1,6.4,7.2,23.9,121.7,56.8,62.2,47.7,39.0,152.06,Dunning,,NO,,,Marine,3.0,2.0,Carnivore,Aquatic predator,Aquatic,-63.56,-24.03,-46.17,65.55346377,21746036.6,Extant
Buphagus_erythrorhynchus,Buphagus erythrorhynchus,Sturnidae,Passeriformes,6,3,3,0,4,19.7,12.2,6.3,7.0,20.4,118.6,35.8,85.8,29.4,98.3,50.74,Dunning,,NO,,,Woodland,3.0,1.0,Carnivore,Invertivore,Insessorial,-33.57,17.33,-2.49,36.34648666,2881050.23,Extant
Calcarius_ornatus,Calcarius ornatus,Emberizidae,Passeriformes,6,2,4,0,5,11.6,7.5,4.4,5.2,20.0,78.6,21.0,57.9,26.7,56.5,20.3,Dunning,,NO,,,Grassland,3.0,3.0,Omnivore,Granivore,Terrestrial,39.91,51.9,47.96,-105.4957598,799140.65,Extant
Stachyris_dennistouni,Stachyris dennistouni,Timaliidae,Passeriformes,4,2,2,0,4,16.3,9.9,3.3,4.3,18.0,66.1,10.4,55.6,15.8,58.7,15.7,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,15.1,18.59,17.21,121.6827882,15801.31,Extant
Baryphthengus_martii,Baryphthengus martii,Momotidae,Coraciiformes,22,10,5,7,7,49.3,33.5,11.7,14.0,32.6,150.7,24.3,126.6,16.1,250.8,165.02,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Omnivore,Insessorial,-18.13,15.3,-6.17,-68.87973623,3234290.46,Extant
Probosciger_aterrimus,Probosciger aterrimus,Psittacidae,Psittaciformes,8,2,6,0,7,90.9,80.5,27.6,84.4,29.5,344.2,103.1,241.2,29.9,229.2,841.0,Dunning,,NO,,,Forest,2.0,1.0,Herbivore,Omnivore,Insessorial,-14.61,0.04,-5.71,140.9523634,716105.09,Extant
Hirundo_rustica,Hirundo rustica,Hirundinidae,Passeriformes,68,23,24,21,10,12.4,6.0,4.5,2.7,11.7,115.8,62.3,56.0,52.6,71.4,17.91,Dunning,,NO,,,Human Modified,3.0,3.0,Carnivore,Invertivore,Aerial,-37.53,71.13,47.56,34.57046816,51701054.06,Extant
Ifrita_kowaldi,Ifrita kowaldi,Orthonychidae,Passeriformes,5,2,3,0,4,16.3,10.0,4.1,4.7,26.8,79.8,9.8,70.4,12.2,54.2,32.1,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-10.1,-3.33,-5.87,143.2621308,91932.48,Extant
Irena_cyanogastra,Irena cyanogastra,Irenidae,Passeriformes,11,4,5,2,10,28.7,19.6,8.7,11.3,21.1,132.5,28.4,104.5,21.4,104.9,80.29,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,5.56,18.65,11.97,123.2193228,229101.27,Extant
Gallicolumba_beccarii,Gallicolumba beccarii,Columbidae,Columbiformes,8,4,4,0,8,16.4,8.7,2.4,3.2,26.8,104.2,30.5,73.7,29.3,56.0,78.73,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Omnivore,Terrestrial,-11.85,-0.49,-5.52,144.9813234,239191.41,Extant
Cochlearius_cochlearius,Cochlearius cochlearius,Ardeidae,Pelecaniformes,5,2,3,0,4,86.4,65.9,43.3,28.9,78.3,264.6,77.5,197.0,28.2,117.0,643.21,Dunning,,NO,,,Wetland,2.0,1.0,Carnivore,Aquatic predator,Terrestrial,-26.98,24.4,-4.95,-62.07760887,11698377.4,Extant
Tyrannus_savana,Tyrannus savana,Tyrannidae,Passeriformes,11,5,5,1,4,20.1,11.5,6.5,5.4,17.9,105.6,34.2,71.9,32.0,215.0,31.9,Dunning,,NO,,,Grassland,3.0,3.0,Carnivore,Invertivore,Insessorial,-43.34,18.89,-16.29,-58.79899625,8167916.46,Extant
Rynchops_niger,Rynchops niger,Laridae,Charadriiformes,6,3,3,0,4,83.7,69.4,7.4,25.1,32.3,365.7,246.5,119.2,67.4,130.5,297.73,Dunning,,NO,,,Riverine,3.0,2.0,Carnivore,Aquatic predator,Aerial,-39.39,42.32,-10.31,-57.9481633,13769340.5,Extant
Mohoua_ochrocephala,Mohoua ochrocephala,Acanthizidae,Passeriformes,4,2,2,0,4,14.1,8.1,3.6,5.1,30.9,80.5,15.5,65.0,19.3,73.8,27.69,Dunning,,NO,,,Forest,1.0,1.0,Omnivore,Invertivore,Insessorial,-46.5,-41.01,-45.19,167.8410018,16919.77,Extant
Bombycilla_garrulus,Bombycilla garrulus,Bombycillidae,Passeriformes,13,6,7,0,4,15.5,7.6,5.1,6.0,20.7,116.2,43.9,72.3,37.8,65.8,54.41,Dunning,,NO,,,Forest,1.0,3.0,Herbivore,Omnivore,Insessorial,47.49,70.45,61.26,25.87916459,12792145.0,Extant
Peucedramus_taeniatus,Peucedramus taeniatus,Peucedramidae,Passeriformes,6,3,3,0,4,14.3,8.2,3.1,2.9,18.6,71.0,19.3,50.7,27.6,52.8,11.0,Dunning,,NO,,,Forest,1.0,2.0,Carnivore,Invertivore,Insessorial,12.67,34.4,23.77,-102.3614297,692877.18,Extant
Centropus_bengalensis,Centropus bengalensis,Cuculidae,Cuculiformes,14,1,2,11,4,28.2,15.7,6.6,11.0,39.3,154.6,29.6,129.6,18.6,185.2,148.91,Dunning,,NO,,,Grassland,2.0,1.0,Carnivore,Invertivore,Terrestrial,-10.94,33.04,14.75,105.7872081,6030216.39,Extant
Cnemophilus_loriae,Cnemophilus loriae,Cnemophilidae,Passeriformes,4,1,3,0,4,24.4,11.7,6.1,5.6,38.4,99.8,4.7,95.1,4.7,76.5,83.97,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-10.1,-3.06,-5.38,141.818736,138396.01,Extant
Oxylabes_madagascariensis,Oxylabes madagascariensis,Sylviidae,Passeriformes,4,2,2,0,4,16.8,9.6,3.1,4.4,21.6,65.0,5.1,59.9,7.8,66.8,23.3,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,-25.14,-12.36,-18.58,48.4362608,172738.74,Extant
Grallaria_varia,Grallaria varia,Formicariidae,Passeriformes,33,12,12,9,4,28.5,17.6,8.3,10.4,50.8,119.2,9.8,104.5,8.4,48.9,119.0,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,-30.06,6.37,-8.82,-54.40133079,3247752.05,Extant
Nyctibius_grandis,Nyctibius grandis,Nyctibiidae,Caprimulgiformes,7,1,5,1,4,45.3,16.4,6.7,7.6,16.8,374.1,164.0,211.2,44.0,250.9,547.0,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-24.61,17.2,-3.9,-62.2288178,8477906.13,Extant
Vidua_macroura,Vidua macroura,Viduidae,Passeriformes,9,4,5,0,4,10.4,6.3,4.3,6.3,15.7,69.0,13.8,54.5,20.2,47.3,15.74,Dunning,,NO,,,Shrubland,3.0,1.0,Herbivore,Granivore,Terrestrial,-34.84,19.08,-3.03,21.13196244,13164158.38,Extant
Cepphus_grylle,Cepphus grylle,Alcidae,Charadriiformes,4,2,2,0,4,38.1,22.4,5.9,9.5,29.8,154.0,66.5,87.5,43.1,51.0,378.0,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic,43.21,82.01,68.63,-1.356124123,2115522.94,Extant
Ciconia_maguari,Ciconia maguari,Ciconiidae,Ciconiiformes,4,1,2,1,3,248.5,182.3,26.6,35.4,258.2,576.5,248.2,328.2,43.1,254.5,3994.99,Dunning,,NO,,,Grassland,3.0,2.0,Carnivore,Aquatic predator,Terrestrial,-39.41,10.4,-18.01,-59.63787979,5041992.63,Extant
