Latin name,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Anhinga_rufa,Anhinga rufa,Anhingidae,Suliformes,6,2,2,2,4,86.9,69.7,10.5,14.1,46.2,344.3,156.8,186.2,45.7,242.7,1480.06,Dunning,,NO,,,Wetland,3.0,1.0,Carnivore,Aquatic predator,Aquatic,-34.84,32.07,-2.89,21.5446615,17976599.63,Extant
Dromas_ardeola,Dromas ardeola,Dromadidae,Charadriiformes,6,3,3,0,4,62.7,44.8,9.9,14.9,90.4,208.5,112.0,96.5,53.7,66.7,325.0,Dunning,,NO,,,Coastal,3.0,1.0,Carnivore,Aquatic predator,Terrestrial,11.36,30.79,22.79,49.41638171,318985.68,Extant
Nicator_chloris,Nicator chloris,Pycnonotidae,Passeriformes,15,3,5,7,5,21.5,11.6,4.2,6.4,28.6,100.0,13.3,89.7,12.8,98.2,46.1,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-10.27,13.93,0.97,14.50364623,3969589.79,Extant
Pachycephala_philippinensis,Pachycephala philippinensis,Pachycephalidae,Passeriformes,11,2,9,0,4,17.2,10.8,4.8,5.2,19.8,81.6,12.4,68.7,15.3,62.0,22.3,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,5.56,19.4,11.46,123.4680701,193262.3,Extant
Mystacornis_crossleyi,Mystacornis crossleyi,Vangidae,Passeriformes,9,2,7,0,4,22.4,13.4,4.2,4.4,25.3,70.2,6.6,63.5,9.3,52.2,24.5,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,-25.09,-12.83,-18.74,48.4172555,159923.75,Extant
Chloroceryle_aenea,Chloroceryle aenea,Alcedinidae,Coraciiformes,8,3,5,0,5,31.0,24.0,5.0,6.5,7.9,55.9,13.6,42.4,24.2,34.0,13.75,Dunning,,NO,,,Riverine,2.0,1.0,Carnivore,Aquatic predator,Insessorial,-26.19,21.62,-3.66,-63.81874162,9332280.13,Extant
Rissa_tridactyla,Rissa tridactyla,Laridae,Charadriiformes,10,4,5,1,4,44.5,18.8,5.3,10.8,33.9,301.0,179.1,122.9,59.4,116.0,415.99,Dunning,,NO,,,Marine,3.0,2.0,Carnivore,Aquatic predator,Aerial,43.09,81.83,59.56,-52.28149527,2307068.48,Extant
Myiagra_hebetior,Myiagra hebetior,Monarchidae,Passeriformes,10,2,8,0,4,20.5,10.7,6.0,4.2,21.9,79.3,11.3,67.9,14.2,65.1,20.2,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-6.31,-1.31,-5.1,150.8838206,42727.79,Extant
Upupa_epops,Upupa epops,Upupidae,Bucerotiformes,18,9,9,0,16,56.5,47.1,5.7,6.5,21.2,143.8,29.9,113.9,20.8,100.8,66.93,Dunning,,NO,,,Grassland,3.0,3.0,Carnivore,Invertivore,Terrestrial,-34.84,60.04,28.97,61.73841453,47411719.4,Extant
Picathartes_gymnocephalus,Picathartes gymnocephalus,Picathartidae,Passeriformes,6,2,0,4,4,34.0,18.2,6.2,10.4,63.1,162.2,7.2,152.3,4.5,180.5,196.0,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,4.49,9.98,6.81,-6.81818555,388878.28,Extant
