Latin name	Species3	Family3	Order3	Total.individuals	Female	Male	Unknown	Complete.measures	Beak.Length_Culmen	Beak.Length_Nares	Beak.Width	Beak.Depth	Tarsus.Length	Wing.Length	Kipps.Distance	Secondary1	Hand-Wing.Index	Tail.Length	Mass	Mass.Source	Mass.Refs.Other	Inference	Traits.inferred	Reference.species	Habitat	Habitat.Density	Migration	Trophic.Level	Trophic.Niche	Primary.Lifestyle	Min.Latitude	Max.Latitude	Centroid.Latitude	Centroid.Longitude	Range.Size	Species.Status	Sample	Labels
Larus_maculipennis	Larus maculipennis	Laridae	Charadriiformes	5	2	3	0	4	41.4	16.6	4.7	8.9	43.8	291.2	159.0	129.2	55.1	108.2	339.0	Dunning		NO			Wetland	3.0	1.0	Carnivore	Omnivore	Generalist	-55.98	-28.77	-40.29	-66.11448112	2149631.88	Extant	Chroicocephalus_maculipennis_GCA_013397655.1_msmc2.final	13.0
Chunga_burmeisteri	Chunga burmeisteri	Cariamidae	Cariamiformes	4	1	0	3	3	59.2	29.4	14.1	16.1	144.0	300.3	32.1	268.2	10.7	305.7	1298.0	Dunning		NO			Woodland	2.0	1.0	Carnivore	Invertivore	Terrestrial	-35.36	-18.4	-25.38	-62.3776834	736438.81	Extant	Chunga_burmeisteri_GCA_013396505.1_msmc2.final	9.0
Ciconia_maguari	Ciconia maguari	Ciconiidae	Ciconiiformes	4	1	2	1	3	248.5	182.3	26.6	35.4	258.2	576.5	248.2	328.2	43.1	254.5	3994.99	Dunning		NO			Grassland	3.0	2.0	Carnivore	Aquatic predator	Terrestrial	-39.41	10.4	-18.01	-59.63787979	5041992.63	Extant	Ciconia_maguari_GCA_013399255.1_msmc2.final	2.0
Cinclus_mexicanus	Cinclus mexicanus	Cinclidae	Passeriformes	5	2	3	0	4	21.6	11.7	3.4	4.8	29.8	89.1	23.6	65.3	26.5	51.8	56.68	Dunning		NO			Riverine	3.0	1.0	Carnivore	Aquatic predator	Generalist	8.36	69.6	52.35	-128.7471879	4910744.04	Extant	Cinclus_mexicanus_GCA_013399935.1_msmc2.final	11.0
Cisticola_juncidis	Cisticola juncidis	Cisticolidae	Passeriformes	21	9	12	0	4	12.1	6.8	2.3	2.6	17.7	48.9	6.7	42.8	13.5	40.3	6.81	Dunning		NO			Grassland	3.0	3.0	Carnivore	Invertivore	Generalist	-34.84	51.09	10.73	63.10920419	18929166.75	Extant	Cisticola_juncidis_GCA_013400215.1_msmc2.final	7.0
Climacteris_rufus	Climacteris rufus	Climacteridae	Passeriformes	10	5	5	0	4	19.7	10.4	3.6	3.6	23.2	87.3	24.6	64.4	27.5	61.6	32.64	Dunning		NO			Woodland	2.0	1.0	Carnivore	Invertivore	Insessorial	-35.19	-28.82	-31.94	122.8538672	452307.17	Extant	Climacteris_rufus_GCA_013398175.1_msmc2.final	6.0
Cnemophilus_loriae	Cnemophilus loriae	Cnemophilidae	Passeriformes	4	1	3	0	4	24.4	11.7	6.1	5.6	38.4	99.8	4.7	95.1	4.7	76.5	83.97	Dunning		NO			Forest	1.0	1.0	Herbivore	Frugivore	Insessorial	-10.1	-3.06	-5.38	141.818736	138396.01	Extant	Cnemophilus_loriae_GCA_013397755.1_msmc2.final	9.0
Cochlearius_cochlearius	Cochlearius cochlearius	Ardeidae	Pelecaniformes	5	2	3	0	4	86.4	65.9	43.3	28.9	78.3	264.6	77.5	197.0	28.2	117.0	643.21	Dunning		NO			Wetland	2.0	1.0	Carnivore	Aquatic predator	Terrestrial	-26.98	24.4	-4.95	-62.07760887	11698377.4	Extant	Cochlearius_cochlearius_GCA_013396365.1_msmc2.final	9.0
Columbina_picui	Columbina picui	Columbidae	Columbiformes	10	4	5	1	3	15.0	8.8	3.2	4.2	13.5	87.9	17.8	70.5	20.1	72.2	47.0	Dunning		NO			Human Modified	3.0	3.0	Herbivore	Granivore	Terrestrial	-43.46	-2.73	-23.34	-58.64470063	5736046.33	Extant	Columbina_picui_GCA_013397635.1_msmc2.final	6.0
Crypturellus_undulatus	Crypturellus undulatus	Tinamidae	Tinamiformes	7	1	6	0	4	34.0	12.4	6.0	5.8	48.0	172.5	35.0	137.8	20.3	56.6	564.42	Dunning		NO			Forest	1.0	1.0	Herbivore	Omnivore	Terrestrial	-27.8	8.4	-8.43	-59.5580665	8533511.59	Extant	Crypturellus_undulatus_GCA_013389825.1_msmc2.final	9.0
Daphoenositta_chrysoptera	Daphoenositta chrysoptera	Neosittidae	Passeriformes	22	9	13	0	8	14.4	9.4	2.8	3.5	16.0	79.1	23.0	55.1	29.4	37.5	11.7	Dunning		NO			Forest	2.0	1.0	Carnivore	Invertivore	Insessorial	-39.24	-0.52	-25.74	136.4915404	4895533.35	Extant	Daphoenositta_chrysoptera_GCA_013397915.1_msmc2.final	10.0
Dasyornis_broadbenti	Dasyornis broadbenti	Dasyornithidae	Passeriformes	11	4	6	1	2	21.6	10.4	4.6	5.6	33.5	90.8	5.0	86.5	5.5	120.9	67.9	Dunning		NO			Shrubland	2.0	1.0	Omnivore	Invertivore	Generalist	-38.86	-35.31	-37.67	141.4969873	26759.89	Extant	Dasyornis_broadbenti_GCA_013397935.1_msmc2.final	7.0
Donacobius_atricapilla	Donacobius atricapilla	Mimidae	Passeriformes	7	3	3	1	4	26.1	14.9	4.6	5.3	31.7	81.1	7.7	72.5	9.6	98.5	36.8	Dunning		NO			Wetland	3.0	1.0	Carnivore	Invertivore	Insessorial	-28.73	12.46	-5.58	-60.43440744	8620634.56	Extant	Donacobius_atricapilla_GCA_013397315.1_msmc2.final	5.0
Dromas_ardeola	Dromas ardeola	Dromadidae	Charadriiformes	6	3	3	0	4	62.7	44.8	9.9	14.9	90.4	208.5	112.0	96.5	53.7	66.7	325.0	Dunning		NO			Coastal	3.0	1.0	Carnivore	Aquatic predator	Terrestrial	11.36	30.79	22.79	49.41638171	318985.68	Extant	Dromas_ardeola_GCA_013398915.1_msmc2.final	11.0
Drymodes_brunneopygia	Drymodes brunneopygia	Petroicidae	Passeriformes	7	3	3	1	4	16.5	8.8	3.4	3.9	35.5	91.9	12.3	78.0	13.6	100.7	32.95	Dunning		NO			Shrubland	2.0	1.0	Carnivore	Invertivore	Generalist	-37.35	-25.52	-32.61	130.324147	916861.69	Extant	Drymodes_brunneopygia_GCA_013400955.1_msmc2.final	10.0
